cycle_n,0-R1,0-R10,0-R11,0-R12,0-R13,0-R14,0-R15,0-R16,0-R17,0-R18,0-R19,0-R2,0-R20,0-R3,0-R4,0-R5,0-R6,0-R7,0-R8,0-R9,31-R1,31-R10,31-R11,31-R12,31-R13,31-R14,31-R15,31-R16,31-R17,31-R18,31-R19,31-R2,31-R20,31-R3,31-R4,31-R5,31-R6,31-R7,31-R8,31-R9,time_s
24,2.2122641509433962,2.1416746259153134,2.128949065119278,2.319162045594578,2.256880733944954,2.3844030365769497,2.298532354903269,1.9635714285714285,2.0525381611643594,1.9255469301340862,2.022923712889891,2.3597213426219126,2.0044526901669757,2.274678111587983,2.3641671788567917,2.2600464961806708,2.1945169712793735,2.4484519629747847,2.3812785388127855,2.4523583412472303,2.517421035493325,2.51437908496732,2.4661211129296237,2.4261168384879723,2.539,2.510659560293138,2.5567184334908846,2.1216262384694224,2.147048671039006,2.141102141102141,2.156113537117904,2.5527306967984935,2.165001849796522,2.407976366322009,2.5321875,2.485613810741688,2.5368321214037306,2.6856411896386314,2.6891622340425534,2.6537067545304778,2760.095
25,2.309119496855346,2.2406876790830945,2.2230818826563508,2.440542205791744,2.3607470511140236,2.4858523119392686,2.397598398932622,2.043214285714286,2.141285055023074,2.0045871559633026,2.1086057872980084,2.4696010132995565,2.09721706864564,2.395156345800123,2.4769514443761524,2.3543673198273,2.2796997389033944,2.5684647302904566,2.5026092628832357,2.57866413421969,2.638879843699121,2.6401960784313725,2.576104746317512,2.5451421430802874,2.677,2.6335776149233845,2.6995273463875757,2.2128459173214896,2.245771487745944,2.233064233064233,2.260917030567686,2.689893283113622,2.2730299667036626,2.5329394387001476,2.666875,2.6179667519181584,2.6629781852671512,2.8343460185481293,2.83843085106383,2.802306425041186,2880.102
26,2.4028301886792454,2.32378223495702,2.2975499677627336,2.5483672211953174,2.4682175622542597,2.5969634230503797,2.5190126751167443,2.1135714285714284,2.225772097976571,2.0811573747353562,2.1995490417136416,2.577580747308423,2.1810760667903524,2.4911097486204783,2.5934234787953288,2.4649618067087347,2.379242819843342,2.684647302904564,2.612850619699935,2.701487812598924,2.749918593292087,2.7712418300653594,2.6991816693944353,2.6719775070290535,2.817,2.763157894736842,2.8446995273463878,2.2951827810044416,2.342078011736279,2.3373113373113372,2.36863173216885,2.8286252354048966,2.3755086940436554,2.6549483013293944,2.796875,2.74616368286445,2.7831172937085045,2.975375759513911,2.9737367021276597,2.9360790774299836,3000.13
27,2.50062893081761,2.426615727475326,2.400386847195358,2.6515711645101665,2.586173001310616,2.717046238785369,2.633422281521014,2.1864285714285714,2.3123890663826767,2.15772759350741,2.2901164975573094,2.681443951868271,2.2749536178107608,2.608522378908645,2.7089735709895515,2.5762205247426104,2.4800913838120104,2.804340887328439,2.720808871493803,2.8170307059195947,2.88082057961576,2.9022875816993463,2.823567921440262,2.7985004686035615,2.9423333333333335,2.901732178547635,2.987508440243079,2.395626921762897,2.4332067656196066,2.444015444015444,2.475982532751092,2.956057752667922,2.4924158342582317,2.7884785819793207,2.9378125,2.8820332480818416,2.9190641795763517,3.1039334825711546,3.128656914893617,3.0787479406919274,3120.137
28,2.602830188679245,2.524355300859599,2.4809800128949067,2.7677141096734443,2.6854521625163827,2.829192546583851,2.7354903268845896,2.2675,2.39226127085552,2.233592095977417,2.3776775648252535,2.793856871437619,2.350278293135436,2.7115266707541386,2.8340503995082975,2.684158087014281,2.5737597911227152,2.924992020427705,2.8483365949119372,2.9427033871478314,2.9973949853467925,3.052287581699346,2.922749590834697,2.915026554201812,3.085,3.0343104596935375,3.12525320729237,2.479330372394944,2.5274421815671384,2.533871533871534,2.5796943231441047,3.0951035781544256,2.601183869774325,2.911373707533235,3.074375,3.0214194373401533,3.0477394878280113,3.2606331947553566,3.2752659574468086,3.237891268533773,3240.145
29,2.6921383647798742,2.6138172556510666,2.5651192778852354,2.8733826247689462,2.780799475753604,2.947895100069013,2.845897264843229,2.34,2.4849130280440184,2.309103740296401,2.46674182638106,2.902469917669411,2.4296846011131725,2.8120784794604536,2.936078672403196,2.7851212221853205,2.662859007832898,3.033833386530482,2.953359425962166,3.056030389363723,3.118528166720938,3.173202614379085,3.0360065466448445,3.0290534208059983,3.2173333333333334,3.171552298467688,3.261985145172181,2.5657669969251793,2.6175353814290645,2.6353106353106353,2.683406113537118,3.216258631512869,2.6992230854605994,3.035450516986706,3.2059375,3.1569693094629154,3.161555485298767,3.4039015030380555,3.4122340425531914,3.3769357495881382,3360.151
30,2.777044025157233,2.708691499522445,2.6534493874919405,2.989525569932224,2.8915465268676277,3.0617667356797793,2.9716477651767845,2.407857142857143,2.561590344337948,2.3895553987297107,2.55956407365652,3.0022165927802407,2.520964749536178,2.919068056407112,3.062077443146896,2.8933909000332116,2.756527415143603,3.1570379827641237,3.068819308545336,3.1874010762899654,3.2419407359166397,3.3189542483660133,3.1525368248772505,3.1562011871290223,3.355,3.3024650233177884,3.4223497636731937,2.6576699692517938,2.725578184328616,2.742365742365742,2.7823871906841338,3.363779033270559,2.820569737328894,3.1707533234859677,3.3496875,3.284846547314578,3.2971862156180842,3.53757595139111,3.556848404255319,3.5248764415156506,3480.158
31,2.8789308176100628,2.81056988220312,2.739522888459059,3.087800369685767,2.9950851900393185,3.168737060041408,3.063709139426284,2.4692857142857143,2.63329783457579,2.449894142554693,2.646749342352499,3.116846105129829,2.6103896103896105,3.0248313917841814,3.1748617086662567,2.996346728661574,2.855417754569191,3.2776891158633896,3.1692759295499022,3.309591642924976,3.3549332464995114,3.4480392156862747,3.2684124386252047,3.268978444236176,3.485,3.4270486342438375,3.5449020931802835,2.7441065937820293,2.8170521228857437,2.8343278343278344,2.8850072780203786,3.4865034526051475,2.918978912319645,3.300147710487445,3.4740625,3.4191176470588234,3.4274423016123934,3.679565078349856,3.697473404255319,3.6724876441515653,3600.164
32,2.9685534591194966,2.903852276345113,2.8288201160541586,3.1931608133086877,3.106159895150721,3.2801932367149758,3.1737825216811206,2.5482142857142858,2.736599219027334,2.5328158080451657,2.7309282224727545,3.221342621912603,2.691280148423006,3.13182096873084,3.2993239090350337,3.0953171703752904,2.9451697127937337,3.3884455793169486,3.2915851272015657,3.438113327002216,3.48420709866493,3.5869281045751635,3.3918166939443535,3.3980006248047485,3.622,3.5799467021985345,3.6931127616475354,2.8380594465322857,2.91439420089748,2.9406809406809407,2.9938136826783115,3.628060263653484,3.0221975582685903,3.4118168389955685,3.621875,3.559462915601023,3.554536832121404,3.816437480012792,3.84906914893617,3.8197693574958813,3720.17
33,3.0650943396226413,2.9958611907035975,2.9107027724049,3.3031423290203326,3.2024901703800785,3.380607315389924,3.2745163442294865,2.617142857142857,2.8107916222932197,2.612561750176429,2.8121007140172867,3.337555414819506,2.7617810760667902,3.2317596566523603,3.4154886293792255,3.2112255064762536,3.0434073107049606,3.5087775295244175,3.4037834311806914,3.5561886672997782,3.6128296971670464,3.7130718954248367,3.507364975450082,3.5064042486722897,3.7583333333333333,3.7045303131245837,3.8298446995273463,2.9091219678852065,3.003797031411805,3.0396630396630395,3.0877001455604076,3.766792215944758,3.119496855345912,3.552437223042836,3.7459375,3.692774936061381,3.6844767625671833,3.9760153501758873,3.9983377659574466,3.9614497528830315,3840.174
